Experiment,Model,accuracy_mean,f1_mean,precision_mean,recall_mean,roc_auc_mean,accuracy_std,f1_std,precision_std,recall_std,roc_auc_std
Exp_1A,KNN,0.8567500000000001,0.846228246349099,0.9129191770943356,0.7886732704887042,0.9258191433282997,0.0035487673916446013,0.00549713225531864,0.005595819738212176,0.00912141431269795,0.0006864140449025736
Exp_1A,Logistic Regression,0.8676999999999999,0.8635106029641394,0.891293157519512,0.8374619318801017,0.9388787070789684,0.0036288772368323436,0.005685753197436596,0.006901308614193505,0.008747562170401794,0.002568051375141159
Exp_1A,Random Forest,0.8722,0.8693576751123946,0.8887661442906829,0.8508469030225022,0.9403813788989952,0.004280770958600801,0.005689604136314805,0.009404398778741052,0.007443899285218451,0.0008696681683190954
Exp_1B,KNN,0.8549,0.8459488055917184,0.901158659282862,0.7971680377101894,0.9230422894767552,0.002440542972373169,0.005051455720214094,0.008486569291072568,0.006885045074931011,0.0014196429646944546
Exp_1B,Logistic Regression,0.8661999999999999,0.8617143011174668,0.8911968827557695,0.8341626651104057,0.9369989040003773,0.002677452147098052,0.00487038017911821,0.007548778024621317,0.006410474829882596,0.002531411744929845
Exp_1B,Random Forest,0.8684,0.8647794814166062,0.8889104444247564,0.8419541572159425,0.9370546154493195,0.0035689634349485876,0.004952891275276687,0.007731382918404213,0.0050817434115643595,0.0025386905565111828
