Model,exp_1a_accuracy_mean,exp_1a_accuracy_std,exp_1a_accuracy_ci95,exp_1a_ci95_lower,exp_1a_ci95_upper,exp_1b_accuracy_mean,exp_1b_accuracy_std,exp_1b_accuracy_ci95,exp_1b_ci95_lower,exp_1b_ci95_upper,delta_easy,exp_2a_accuracy_mean,exp_2a_accuracy_std,exp_2a_accuracy_ci95,exp_2a_ci95_lower,exp_2a_ci95_upper,exp_2b_accuracy_mean,exp_2b_accuracy_std,exp_2b_accuracy_ci95,exp_2b_ci95_lower,exp_2b_ci95_upper,delta_hard
KNN,0.8630974431387557,0.001412445669936,0.0017537829377783278,0.8613436602009774,0.864851226076534,0.8624376062361021,0.001974089515247,0.002451155880313721,0.8599864503557884,0.8648887621164159,0.0006598369026535877,0.7388733223592147,0.0012560308690264,0.0015595683107026683,0.737313754048512,0.7404328906699174,0.6444875660901184,0.0032494081008399,0.00403467305428457,0.6404528930358337,0.648522239144403,0.09438575626909629
Logistic Regression,0.8692170684106161,0.0016377123172855,0.0020334884237882653,0.8671835799868278,0.8712505568344043,0.8674748508517085,0.0016570794398381,0.002057535882610629,0.8654173149690979,0.8695323867343191,0.0017422175589075772,0.7207101256132545,0.0021266591953166,0.0026405961592736093,0.718069529453981,0.7233507217725281,0.6658854178774385,0.0029853160511797,0.0037067594640096593,0.6621786584134288,0.6695921773414482,0.05482470773581605
Random Forest,0.8770206212579726,0.001330593209913,0.001652149685003356,0.8753684715729693,0.878672770942976,0.8727327238039667,0.0007590314085823,0.0009424619735425335,0.8717902618304242,0.8736751857775092,0.004287897454005929,0.7569928096925874,0.0013514459924631,0.0016780418343581866,0.7553147678582293,0.7586708515269456,0.6729562838046537,0.002980107465002,0.003700292150071267,0.6692559916545824,0.676656575954725,0.08403652588793376
